id,part,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
TOPOLOGY-010,p01,topology.tex,topology.tex:3910,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"After reduction to a Noetherian space the text says a finite union of irreducible components is not necessarily closed.","Irreducible components are closed and a finite union of them is closed; the intended warning is plausibly that the union is not necessarily open.","Replace 'not necessarily closed' by 'not necessarily open' if confirmed.",reported_to_cjk1_2026-08-22
TOPOLOGY-011,p01,topology.tex,topology.tex:4103-4109,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The proof asserts that T = X minus E is nowhere dense immediately from density of E, before deriving that conclusion from the locally closed pieces.","Density of E gives only empty interior of T; nowhere density requires the closure of T to have empty interior and is precisely what the subsequent argument establishes.","Replace the premature assertion by 'T has empty interior' or remove it, leaving the subsequent proof to establish nowhere density.",reported_to_cjk1_2026-08-22
TOPOLOGY-012,p01,topology.tex,topology.tex:4577-4590,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The product-spectral proof establishes irreducibility of p(Z) and q(Z) but then chooses generic points of the closures of p(X) and q(Y).","The proof immediately returns to the closures of p(Z) and q(Z), so the intermediate p(X) and q(Y) do not match the object being proved irreducible.","Replace the two intermediate occurrences p(X), q(Y) by p(Z), q(Z).",reported_to_cjk1_2026-08-22
TOPOLOGY-013,p01,topology.tex,topology.tex:4683-4693,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"A map is defined as f : X to product_U W but the next sentence calls it f : X to Y before Y is defined as f(X).","Y is introduced only at line 4693 as the image f(X); the earlier codomain Y is therefore forward-referential and inconsistent with the displayed definition.","Keep codomain product_U W until Y = f(X) is introduced, or define Y before naming it as codomain.",reported_to_cjk1_2026-08-22
CATEGORIES-001,p01,categories.tex,categories.tex:7005-7008,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"With f : V to U and g : W to V the text says to lift g composed with f.","The typed composite from W to U is f composed with g, and the preceding two-step lift first lifts f and then g.","Replace g composed with f by f composed with g.",reported_to_cjk1_2026-08-22
CATEGORIES-002,p01,categories.tex,categories.tex:7046-7050,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The pseudo-functor data are written alpha_{f,g} although the defining lemma writes alpha_{g,f}.","The canonical isomorphism at lines 6425-6450 is alpha_{g,f} : (f composed g)^* to g^* composed f^* and the concluding quadruple there also uses alpha_{g,f}.","Replace alpha_{f,g} by alpha_{g,f} unless a deliberate reindexing is documented.",reported_to_cjk1_2026-08-22
CATEGORIES-003,p01,categories.tex,categories.tex:7425-7429,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The inertia category is written I_mathcal{S} in one formula although the object is otherwise mathcal{I}_mathcal{S}.","The cited inertia lemma and all surrounding notation use mathcal{I}_mathcal{S}; plain I_mathcal{S} is an isolated mismatch.","Replace I_mathcal{S} by mathcal{I}_mathcal{S}.",reported_to_cjk1_2026-08-22
CATEGORIES-004,p01,categories.tex,categories.tex:7603-7623,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"After constructing a functorial isomorphism from d to c composed with b, the concluding sentence calls it d to b composed with c.","Here b : X to X'' and c : X'' to the 2-fibre product, so c composed with b is typed and was explicitly announced at line 7603; b composed with c is not.","Replace b composed with c by c composed with b.",reported_to_cjk1_2026-08-22
CATEGORIES-005,p01,categories.tex,categories.tex:9142-9149,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The terminal expression contains a duplicated composition operator: (a tensor b) composed composed 1^{-1}.","The preceding equality has one composition operator at every junction and the duplicate is syntactically meaningless.","Delete one duplicated composition operator.",reported_to_cjk1_2026-08-22
CATEGORIES-006,p01,categories.tex,categories.tex:9480-9483,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The tensor functor of a symmetric monoidal category is declared on mathcal{C} tensor mathcal{C}.","A bifunctor is typed on the categorical product mathcal{C} times mathcal{C}; the same chapter otherwise treats tensor as the functor, not as the product category.","Replace the domain mathcal{C} tensor mathcal{C} by mathcal{C} times mathcal{C}.",reported_to_cjk1_2026-08-22
CATEGORIES-007,p01,categories.tex,categories.tex:8840-8847,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The product of slice categories is identified with mathcal{C}/U times V.","The representable product should be the slice represented by U times V, i.e. mathcal{C}/(U times V); the same malformed expression is used in the following fibre product.","Replace mathcal{C}/U times V by mathcal{C}/(U times V) in the identification and subsequent occurrence.",reported_to_cjk1_2026-08-22
TOPOLOGY-014,p01,topology.tex,topology.tex:4791-4803,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"After defining Z'_i as constructible-topology subspaces the proof writes Z' = lim Z_i.","The quasi-compact inverse-limit lemma applies to the primed quasi-compact Hausdorff spaces and the next sentence compares maps Z'_i to Z_i; therefore Z' must be lim Z'_i.","Replace lim Z_i by lim Z'_i in the definition of Z'.",reported_to_cjk1_2026-08-22
TOPOLOGY-015,p01,topology.tex,topology.tex:5058-5065,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The proof invokes quasi-compactness of the spectral topology on Z while citing the constructible-Hausdorff-quasi-compact lemma.","The E_i are constructible and the cited lemma proves quasi-compactness of the constructible topology; the ordinary spectral topology phrase does not supply the needed closed-set argument.","Replace 'spectral topology' by 'constructible topology'.",reported_to_cjk1_2026-08-22
TOPOLOGY-016,p01,topology.tex,topology.tex:5070-5088,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The conclusion writes W minus E = lim U_i minus E without parentheses.","The lemma statement at 5076 explicitly gives lim (U_i minus E), and the universal-property argument is the inverse limit of the subspaces U_i minus E, not subtraction after taking a limit expression.","Write lim (U_i minus E), matching the lemma statement.",reported_to_cjk1_2026-08-22
TOPOLOGY-017,p01,topology.tex,topology.tex:5165-5167,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The canonical map X to X^* is said to identify X with an open subspace of X.","The construction is the Stone-Cech compactification X^*, and the codomain just named in the same sentence is X^*; saying X is an open subspace of itself is tautological and misses the assertion.","Replace the final X by X^*.",reported_to_cjk1_2026-08-22
TOPOLOGY-018,p01,topology.tex,topology.tex:5362-5369,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The Rainwater proof defines E = X minus U intersect f^{-1}(V) without parentheses and immediately calls E closed and identifies its complement with U intersect f^{-1}(V).","Under the written grouping E is the intersection of a closed set with an open preimage and its complement is not U intersect f^{-1}(V); both subsequent claims require complementing the full intersection.","Write E = X minus (U intersect f^{-1}(V)).",reported_to_cjk1_2026-08-22
TOPOLOGY-019,p01,topology.tex,topology.tex:5410-5442,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The proof starts with X' = beta(Y), extracts a minimal closed E contained in X', and proves E extremally disconnected, but the uniqueness paragraph reverts to a map g : X' to X'' and invokes minimality of X'.","Only E has been proved minimal; beta(Y)=X' need not be. The uniqueness argument is valid after replacing or renaming X' by E.","Rename the constructed E as X' before uniqueness, or run the uniqueness paragraph with g : E to X'' and minimality of E.",reported_to_cjk1_2026-08-22
TOPOLOGY-020,p01,topology.tex,topology.tex:5480-5490,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"A lemma contains the literal list item 'add more here.' and its proof is only 'Omitted.'.","The placeholder explicitly marks unfinished source content rather than a deliberate mathematical statement.","Complete or remove the placeholder item and supply or explicitly disposition the omitted proof.",reported_to_cjk1_2026-08-22
TOPOLOGY-021,p01,topology.tex,topology.tex:5507-5522,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The definition says one partition refines another when the parts of the first are unions of parts of the second, reversing the standard refinement relation used by the following example.","The irreducible-component partition X_I is finer than the connected-component partition: connected components are unions of X_I, not conversely.","Say that P refines Q when every part of Q is a union of parts of P (or every part of P is contained in a part of Q).",reported_to_cjk1_2026-08-22
TOPOLOGY-022,p01,topology.tex,topology.tex:5820-5824,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The normal-core argument chooses right-coset representatives G = union H g_i but intersects g_i H g_i^{-1}.","For right-coset representatives the well-defined conjugates are g_i^{-1} H g_i; alternatively g_i H g_i^{-1} requires left-coset representatives G = union g_i H.","Either replace H g_i by g_i H or replace g_i H g_i^{-1} by g_i^{-1} H g_i.",reported_to_cjk1_2026-08-22
TOPOLOGY-023,p01,topology.tex,topology.tex:5865-5873,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The colimit proof declares a functor I to Top but immediately says its values are topological groups G_i and constructs a representability functor on TopGroup.","The diagram whose colimit is being formed is a diagram in TopGroup; Top would forget the group structure needed throughout the argument.","Replace Top by TopGroup in the diagram declaration.",reported_to_cjk1_2026-08-22
TOPOLOGY-024,p01,topology.tex,topology.tex:1278-1279,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"Descending-chain condition is said to produce a smallest member of A.","DCC guarantees a minimal member under inclusion, not a least member contained in every element of A; the proof uses only minimality.","Replace 'smallest element' by 'minimal element'.",reported_to_cjk1_2026-08-22
TOPOLOGY-025,p01,topology.tex,topology.tex:1297,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The finite union X = Z union Z_1 union ... Z_n omits the final union operator.","The preceding sentence names Z_1 through Z_n as the other irreducible components and the next line removes their union.","Insert a union operator before Z_n.",reported_to_cjk1_2026-08-22
TOPOLOGY-026,p01,topology.tex,topology.tex:1345-1348,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The expansion of G_m intersect (X_1 union ... union X_n) omits the union operator before its final term.","Distributivity requires the union of every G_m intersect X_i; the displayed right side otherwise concatenates the ellipsis and last term.","Insert a union operator before (G_m intersect X_n).",reported_to_cjk1_2026-08-22
TOPOLOGY-027,p01,topology.tex,topology.tex:2165-2168,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The intersection V_{j_0,k} intersect V_{j_1} ... intersect V_{j_p} omits the intersection operator after V_{j_1}.","The preceding and following formulas use the full (p+1)-fold intersection, and the containment in W requires it.","Insert the missing intersection operator between V_{j_1} and the ellipsis.",reported_to_cjk1_2026-08-22
TOPOLOGY-028,p01,topology.tex,topology.tex:2916-2919,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"Noetherian DCC is again said to produce a smallest member of S.","DCC guarantees a minimal closed subset; the contradiction argument uses minimality only.","Replace 'smallest element' by 'minimal element'.",reported_to_cjk1_2026-08-22
TOPOLOGY-029,p01,topology.tex,topology.tex:345-349,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The basis refinement sets J = {i_x | x in U} and V_j = B_{i_x}, which is not well-defined if different x choose the same i_x but different basis elements.","The basis element is chosen pointwise after i_x; it therefore depends on x, not only on the repeated index i_x.","Choose B_x with x in B_x contained in U_{i_x}, index by J = U, and set V_x = B_x.",reported_to_cjk1_2026-08-22
TOPOLOGY-030,p01,topology.tex,topology.tex:514-515,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The quotient-map complement identity reverses X and Y and takes E as a subset of the wrong space.","For f : X to Y, inverse image accepts subsets E of Y and returns subsets of X.","Write f^{-1}(Y minus E) = X minus f^{-1}(E) for E contained in Y.",reported_to_cjk1_2026-08-22
TOPOLOGY-031,p01,topology.tex,topology.tex:1847-1853,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"After choosing alpha' and alpha'' the proof suddenly uses an unchosen alpha with Z_alpha = Z_alpha' intersect Z_alpha''.","Line 1834 observes that finite intersections of the Z_alpha are again members of the family, but the required index alpha is never selected.","Explicitly choose alpha such that Z_alpha = Z_alpha' intersect Z_alpha''.",reported_to_cjk1_2026-08-22
TOPOLOGY-032,p01,topology.tex,topology.tex:2174-2176,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The refinement operation is asserted to decrease N by exactly one and therefore to be repeated exactly N times.","It eliminates the selected bad tuple and can eliminate others simultaneously; the preceding factorization shows no new bad tuple appears, so only a decrease by at least one is justified.","Say N decreases by at least one and the procedure terminates after at most the original N repetitions.",reported_to_cjk1_2026-08-22
TOPOLOGY-033,p01,topology.tex,topology.tex:2487-2523,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The inverse-limit proof embeds Gamma_phi times the product over l not equal to j,k in the full product, which is ill-typed when phi is an endomorphism and j = k.","Identity morphisms already force j = k; Gamma_phi then has two X_j factors whereas the ambient product has one coordinate.","Uniformly use p_{j,k}^{-1}(Gamma_phi), where p_{j,k}(x) = (x_j,x_k), and define Z_phi likewise.",reported_to_cjk1_2026-08-22
TOPOLOGY-034,p01,topology.tex,topology.tex:4499-4501,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The lemma promises a 'third point' specializing to x and y without assuming x and y distinct.","The common specializing point produced by the proof may equal x or y, for example when one specializes to the other.","Remove 'third' and say 'a point specializing to both x and y'.",reported_to_cjk1_2026-08-22
TOPOLOGY-035,p01,topology.tex,topology.tex:4530-4538,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"An equivalence list ends with the literal unfinished item 'add more here.' while the proof treats only the preceding conditions.","The placeholder is neither a mathematical condition nor proved equivalent to the other items.","Remove the placeholder item or supply a genuine additional condition and proof.",reported_to_cjk1_2026-08-22
TOPOLOGY-036,p01,topology.tex,topology.tex:5813-5816,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The sentence f(gw) = t for all w in W leaves g unquantified.","The construction proves the equality for every g in U_t and w in W, which is exactly what is needed for intersection_t U_t to lie in H.","Quantify 'for all g in U_t and all w in W'.",reported_to_cjk1_2026-08-22
TOPOLOGY-037,p01,topology.tex,topology.tex:1131-1133,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The proof says a point y 'corresponds to a point of' a nonempty open intersection rather than using density from hypothesis (c).","Hypothesis (c) says the points with irreducible fibre are dense, so the nonempty open f(U_1) intersect f(U_2) contains such a y.","State directly that the nonempty open intersection contains a point y with irreducible fibre.",reported_to_cjk1_2026-08-22
TOPOLOGY-038,p01,topology.tex,topology.tex:2928-2932,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The proof says E intersect Y contains an open V but omits that V is nonempty.","The stated alternative requires a nonempty open, and minimality is applied to the proper closed subset Y minus V, which fails if V is empty.","Write 'contains a nonempty open V of Y'.",reported_to_cjk1_2026-08-22
TOPOLOGY-039,p01,topology.tex,topology.tex:3594-3611,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The statement requires a directed union of closed subsets but the proof exhibits only the family of point closures and does not show it is directed.","The point-closure family need not be directed; its finite unions are closed, directed by inclusion, and have the same union T.","Replace the exhibited family by its finite unions or explicitly add this directed-family step.",reported_to_cjk1_2026-08-22
TOPOLOGY-040,p01,topology.tex,topology.tex:4015-4017,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The expressions U minus U intersect closure(B) and U minus U intersect closure(A) are unparenthesized and parse ambiguously.","The proof requires U minus (U intersect closure(B)) and the analogous expression for A; the left-associated reading is empty before the argument begins.","Add parentheses around each intersection subtracted from U.",reported_to_cjk1_2026-08-22
SHEAVES-001,p01,sheaves.tex,sheaves.tex:92-94,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"Both vertical arrows in the naturality square are labelled rho^U_V, although one is the restriction of F and the other that of G.","The overloading is decipherable from the arrow domains and may be intentional house notation, but distinct functors make the identical labels potentially ambiguous.","If the canon keeper judges clarification warranted, distinguish the two restriction maps by F/G subscripts; otherwise explicitly retain as intentional notation.",reported_to_cjk1_2026-08-22
SHEAVES-002,p01,sheaves.tex,sheaves.tex:192-195,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The data declare 0 as an element of A, but the next sentence calls both zero and negation 'maps'.","Negation is displayed as a map A to A; zero is displayed as 0 in A (equivalently a map from the final singleton), so the prose and displayed typing do not literally match.","Replace 'the zero and the negation maps' by 'the zero element and the negation map', unless the zero operation is explicitly typed as a map from the final object.",reported_to_cjk1_2026-08-22
SHEAVES-003,p01,sheaves.tex,sheaves.tex:1542-1546,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The proof says 'the presheaf of continuous function is a sheaf'.","The referenced example and the construction concern the presheaf of all continuous functions; the singular count noun is ungrammatical.","Replace 'continuous function' by 'continuous functions'.",reported_to_cjk1_2026-08-22
SHEAVES-004,p01,sheaves.tex,sheaves.tex:1747-1753,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The sentence begins 'Lemma ... show that'.","The singular subject 'Lemma' requires 'shows'; the mathematical assertion itself is clear.","Replace 'show' by 'shows'.",reported_to_cjk1_2026-08-22
SHEAVES-005,p01,sheaves.tex,sheaves.tex:1765-1769,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The clause says 'psi ... is morphism of presheaves'.","The singular count noun is missing its article.","Insert 'a' before 'morphism'.",reported_to_cjk1_2026-08-22
SHEAVES-006,p01,sheaves.tex,sheaves.tex:1847-1854,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The parenthesis reads 'into the restriction of G to a O-module'.","Besides the incorrect article, the intended operation is restriction of scalars along O to O-sharp, not restriction 'to a module'.","Rewrite as 'where G is viewed as an O-module by restriction of scalars'.",reported_to_cjk1_2026-08-22
SHEAVES-007,p01,sheaves.tex,sheaves.tex:1949-1953,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The hypothesis says 'Let F be a sheaf O-modules'.","The grammatical and mathematical construction requires the preposition 'of'.","Replace by 'Let F be a sheaf of O-modules'.",reported_to_cjk1_2026-08-22
SHEAVES-008,p01,sheaves.tex,sheaves.tex:320-327,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The plural subject 'the restriction mappings' is followed by singular 'is'.","The sentence refers to the single map rho^U_V for each pair V subset U, so either the subject or verb must be singular/plural consistently.","Use 'the restriction mapping rho^U_V is the image'.",reported_to_cjk1_2026-08-22
SHEAVES-009,p01,sheaves.tex,sheaves.tex:339-350,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The definition of a presheaf with values in a category imposes composition compatibility but does not require rho^U_U to be the identity.","Allowing W=V=U in the displayed composition law yields only idempotence, not the identity axiom required for a contravariant functor on the open-set category.","Add rho^U_U = id_{F(U)} for every open U, or explicitly define the datum as a contravariant functor.",reported_to_cjk1_2026-08-22
SHEAVES-010,p01,sheaves.tex,sheaves.tex:351-354,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The definition of a morphism gives a single phi:F(U) to G(U) without quantifying U; it also says 'with value' rather than 'with values'.","A natural transformation of presheaves requires one component for every open U, compatible with every restriction.","Write 'with values in C' and 'a morphism phi_U:F(U) to G(U) for every open U'.",reported_to_cjk1_2026-08-22
SHEAVES-011,p01,sheaves.tex,sheaves.tex:402-410,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The phrase reads 'defines the structure of an O(U)-module structure'.","The repeated word 'structure' is editorially redundant.","Replace by 'defines the structure of an O(U)-module on the abelian group F(U)'.",reported_to_cjk1_2026-08-22
SHEAVES-012,p01,sheaves.tex,sheaves.tex:596-604,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The phrase 'For U subset X open set' is missing a determiner or copula.","The displayed product is intended for every open subset U of X.","Write 'For U subset X an open set' or 'For every open U subset X'.",reported_to_cjk1_2026-08-22
SHEAVES-013,p01,sheaves.tex,sheaves.tex:871-876,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"The phrase says 'the set of morphism of sheaves'.","The set generally contains multiple morphisms and requires the plural count noun.","Replace 'morphism' by 'morphisms'.",reported_to_cjk1_2026-08-22
SHEAVES-014,p01,sheaves.tex,sheaves.tex:1106-1127,AC4F9EDC7DB85E66329806EC9EA42816187A469772844BAEA663E1C9A9F00B38,"After defining F only as a presheaf and correctly referring to its underlying presheaf at lines 1112-1113, line 1127 calls it the 'underlying sheaf of sets'.","No sheaf hypothesis or sheafification occurs in the lemma; the structure maps are those of the underlying presheaf.","Replace 'underlying sheaf of sets' by 'underlying presheaf of sets'.",reported_to_cjk1_2026-08-22
